id,genus_and_species,taxonomy_id,strain,superkingdom,phylum,org_class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,r16S_accssion,r16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin
13,Pyrococcus furiosus,2261,Vc1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000007305.1,40.8,1.9,U20163,66.2,70,100,,,103,33
14,Thermococcus fumicolans,46540,ST557,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,54.5,,Z70250,65.1,73,87.5,85,90,103,30
15,Pyrobaculum organotrophum,2278,JCM 9190,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,46,,AB063647,68.2,78,102,,,102,24
16,Pyrobaculum islandicum,2277,GEO3,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,GCA_000015205.1,49.6,1.8,L07511,66.4,74,100,,,102,28
17,Pyrococcus horikoshii,53953,OT3,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000011105.1,41.9,1.7,D45214,66.6,80,98,,,102,22
18,Pyrococcus abyssi,29292,GE5,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,GCA_000195935.2,44.7,1.8,L19921,66.8,67,96,,,102,35
19,Stetteria hydrogenophila,52001,DSM 11227,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Stetteria,,65,,Y07784,66.7,70,95,,,102,32
20,Thermoproteus uzoniensis,184117,Z-605,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,GCA_000193375.1,59.7,1.9,CP002590,67.6,74,90,,,102,28
21,Aeropyrum pernix,56636,K1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,GCA_000011125.1,56.3,1.7,D83259,67.7,70,92.5,,,100,30
22,Pyrobaculum arsenaticum,121277,PZ6,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,GCA_000016385.1,55.1,2.1,AJ277124,67.8,68,90,,,100,32
23,Thermofilum pendens,2269,Hvv3,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,GCA_000015225.1,57.7,1.8,X14835,65.2,85,87.5,,,100,15
24,Thermococcus eurythermalis,1505907,A501,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000769655.1,53.5,2.1,KJ616741,66,50,85,,,100,50
25,Thermococcus kodakarensis,311400,KOD1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000009965.1,52,2.1,D38650,66,60,85,,,100,40
26,Thermococcus hydrothermalis,46539,AL662,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,58,,Z70244,65.4,55,85,,,100,45
27,Fervidobacterium pennivorans,93466,Ven 5,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,GCA_000235405.3,38.9,2.2,NR_074097,61.3,50,80,,,100,50
28,Pyrobaculum calidifontis,181486,VA1,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,51,,AB078332,67.8,75,92.5,90,95,100,25
29,Thermococcus peptonophilus,53952,OG-1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_001592435.1,51.7,1.9,D37982,65.8,60,87.5,85,90,100,40
30,Staphylothermus marinus,2280,F1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,GCA_000015945.1,35.7,1.6,X99560,67.4,65,92,,,98,33
31,Ignicoccus hospitalis,160233, KIN4/I,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,GCA_000017945.1,56.5,1.3,AJ318042,67.7,73,90,,,98,25
32,Ignicoccus pacificus,114376,LPC33,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,,45,,AJ271794,67,75,90,,,98,23
33,Ignicoccus islandicus,54259,Kol8,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignicoccus,GCA_001481685.1,44.9,1.4,X99562,66.5,70,90,,,98,28
34,Thermodiscus maritimus,54250,S2,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermodiscus,,49,,X99554,67.2,75,90,,,98,23
35,Thermococcus litoralis,2265,NS-C,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000246985.3,43.1,2.2,Z70252,65.4,55,85,,,98,43
36,Ignisphaera aggregans,334771,AQ1.S1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Ignisphaera,,52.9,,DQ060321,66,85,93.5,92,95,98,13
37,Pyrobaculum ferrireducens,1104324,1860,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,GCA_000234805.1,57,2.5,CP003098,68,75,92.5,90,95,98,23
38,Vulcanisaeta moutnovskia,985052,768-28,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,GCA_000190315.1,42.4,2.3,AY350589,65.8,60,82.5,80,85,98,38
39,Methanothermus sociabilis,2181,Kf1-F1,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,,33,,NR_104879,64.1,55,88,,,97,42
40,Aeropyrum camini,229980,SY1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,GCA_000591035.1,56.7,1.6,AB109559,65.8,70,85,,,97,27
41,Methanothermus fervidus,2180,V24S,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanothermaceae,Methanothermus,GCA_000166095.1,31.6,1.2,NR_102926,64,65,83,,,97,32
42,Pyrobaculum oguniense,99007,TE7,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,48,,AB029339,67.9,70,92,90,94,97,27
43,Hyperthermus hephaesti,1227648,Ro04,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,,,,JX227922,67.9,82,91,90,92,97,15
44,Pyrodictium delaneyi,1273541,Su06,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Pyrodictium,GCA_001412615.1,53.9,2,CP013011,68.9,82,91,90,92,97,15
45,Desulfurococcus amylolyticus,94694,Z-533,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,GCA_000231015.3,44.8,1.4,NR_104706,65.5,68,91,90,92,97,29
46,Acidianus infernus,12915,So4a ,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,,31,,D85505,64,65,90,,,96,31
47,Thermoproteus tenax,2271,Kra 1,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,GCA_000253055.1,55.1,1.8,AY538162,67.6,85,90,,,96,11
48,Pyrobaculum igneiluti,1806371,521,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,,,,KU720559,67.9,75,90,,,95,20
49,Thermococcus radiotolerans,187880,EJ2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214565.1,55.6,1.9,AF479013,65.3,55,88,,,95,40
50,Thermococcus marinus,187879,EJ1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,52.3,,AF479012,65.8,55,88,,,95,40
51,Thermococcus gammatolerans,187878,EJ3,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000022365.1,53.6,2,AF479014,66.3,55,88,,,95,40
52,Thermococcus nautili,195522,43860,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000585495.1,54.8,2,AY099161,66.4,55,87.5,,,95,40
53,Sulfophobococcus zilligii,53426,K1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Sulfophobococcus,,54.7,,X98064,67.1,70,87,,,95,25
54,Aquifex pyrophilus,2714,Kol5a,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex,,47.3,,M83548,64.9,67,85,,,95,28
55,Sulfolobus tengchongensis,207809,RT8-4,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,,34.4,,AY135637,61.3,65,85,,,95,30
56,Thermococcus atlanticus,155321,MA898,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,50,,AJ310754,65.5,70,85,,,95,25
57,Thermococcus barophilus,55802,MP,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000151105.2,41.7,2.1,U82237,66.3,48,85,,,95,47
58,Ferroglobus placidus,54261,AEDII12DO ,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,GCA_000025505.1,44.1,2.2,AF220166,65.9,65,85,,,95,30
59,Thermogladius calderae,1200300,1633,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,GCA_000264495.1,55.6,1.4,CP003531,66.6,80,84,,,95,15
60,Thermococcus prieurii,1128108,Bio-pl-0405IT2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,53.6,,FN396976,65.9,60,80,,,95,35
61,Sulfolobus yangmingensis,73007,YM1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus,,42,,AB010957,63.9,65,80,,,95,30
62,Thermococcus piezophilus,1712654,CDGS,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_001647085.1,51.1,1.9,LN878294,65.8,60,75,,,95,35
63,Thermococcus aegaeus,84597,P5,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,45,,AJ012643,65.2,50,89,88,90,95,45
64,Thermococcus pacificus,71998,P-4,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214485.1,54.2,1.8,Y16227,55.2,70,84,80,88,95,25
65,Thermococcus gorgonarius,71997,W-12,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214385.1,51.7,1.7,Y16226,55.7,68,84,80,88,95,27
66,Thermococcus cleftensis,163003,CL1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000265525.1,55.8,2,CP003651,65.8,55,88,,,94,39
67,Thermococcus aggregans,110163,TY,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,42,,Y08384,64.9,60,88,,,94,34
68,Thermococcus stetteri,49900,K-3,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,50.2,,Z75240,65.8,55,75,,,94,39
69,Thermococcus thioreducens,277988,OGL-20P,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214545.1,53.5,2.1,AF394925,65.6,55,84,83,85,94,39
70,Saccharolobus caldissimus,1702097,HS-3,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,,31.7,,LC275065,64,65,85,,,93,28
71,Thermococcus siculi,72803,RG-20,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214505.1,55,2,AB055126,66,50,85,,,93,43
72,Thermococcus acidaminovorans,71280,AEDII10,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,49,,AB055120,65.8,56,85,,,93,37
73,Thermococcus chitonophagus,54262,GC74,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_900012635.1,44.9,2,AY099175,66.6,60,85,,,93,33
74,Thermogladius shockii,477696,WB1,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermogladius,,51.3,,EU183120,66.5,64,84,,,93,29
75,Vulcanisaeta distributa,164451,IC-017,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,GCA_000148385.1,45.4,2.4,AB063630,67.1,70,90,,,92,22
76,Acidilobus aceticus,105851,1904,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,,53.8,,AF191225,66.1,60,85,,,92,32
77,Methanocaldococcus fervens,83171,AG8G ,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000023985.1,32.2,1.5,AF056938,64.7,48,85,,,92,44
78,Caldivirga maquilingensis,76887,IC-167,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,GCA_000018305.1,43.1,2.1,AB013926,65.7,60,85,,,92,32
79,Sulfurisphaera ohwakuensis,69656,TA-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,GCA_009729055.1,32.7,2.8,D85507,63.9,63,84,,,92,29
80,Thermococcus barossii,54077,SHCK-94,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214465.1,54.7,1.9,AY099173,66,60,82.5,,,92,32
81,Thermosulfurimonas dismutans,999894,S95,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermosulfurimonas,,52,,JF346116,63.3,50,74,,,92,42
82,Methanotorris igneus,2189,Kol 5,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanotorris,GCA_000214415.1,32.3,1.9,M59125,59,45,88,,,91,46
83,Thermococcus paralvinellae,582419,ES1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000517445.1,40.3,2,CP006965,65.8,50,82,,,91,41
84,Geoglobus ahangari,113653,234,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,GCA_001006045.1,53.1,1.8,AF220165,64.5,65,88,,,90,25
85,Thermococcus guaymasensis,110164,TYS ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000816105.1,52.9,1.9,Y08385,65.5,56,88,,,90,34
86,Thermococcus coalescens,227597,TS1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,53.9,,AB107767,65.8,57,87,,,90,33
87,Thermofilum uzonense,1550241,1807-2,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum,GCA_000993805.1,47.9,1.6,CP009961,65.4,70,85,,,90,20
88,Vulcanisaeta thermophila,867917,CBA1501,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,,43.1,,HM594677,67.3,75,85,,,90,15
89,Thermoproteus thermophilus,867916,CBA1502,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,,62,,HM594678,68.3,75,85,,,90,15
90,Thermococcus alcaliphilus,139207,AEDII12 ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,42,,AB055121,65.8,56,85,,,90,34
91,Thermococcus waiotapuensis,90909,WT1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,50.4,,AB055127,65.8,60,85,,,90,30
92,Staphylothermus hellenicus,84599,P8,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Staphylothermus,GCA_000092465.1,36.8,1.6,AJ012645,66.8,70,85,,,90,20
93,Thermosphaera aggregans,54254,M11TL,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera,GCA_000092185.1,46.7,1.3,X99556,67,65,85,,,90,25
94,Thermodesulfobacterium geofontis,1295609,OPF15 ,Bacteria,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacterium,GCA_000215975.1,30.6,1.6,NR_118457,61.9,70,83,,,90,20
95,Archaeoglobus fulgidus,2234,VC-16,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000008665.1,48.6,2.2,X05567,63.9,60,83,,,90,30
96,Methanocaldococcus bathoardescens,1301915,JH146,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000739065.1,30.8,1.6,CP009149,64.6,58,82,,,90,32
97,Archaeoglobus profundus,84156,AV18,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,GCA_000025285.1,42,1.6,NR_028937,65.1,65,82,,,90,25
98,Thermotoga neapolitana,2337,NS-E,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000018945.1,46.9,1.9,NR_074959,64,55,80,,,90,35
99,Thermotoga maritima,2336,MSB8 ,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000230655.3,46.2,1.9,M21774,63.6,55,80,,,90,35
100,Palaeococcus pacificus,971279,DY20341,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,GCA_000725425.1,43,1.9,HQ696462,65.2,50,80,,,90,40
101,Methanocaldococcus villosus,667126,KIN24-T80,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,,30,,FJ766848,64.4,55,80,,,90,35
102,Thermococcus onnurineus,342948,NA1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000018365.1,51.3,1.8,DQ167232,65.8,63,80,,,90,27
103,Acidianus manzaensis,282676,NA-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_002116695.1,30.6,2.7,AB182498,61.4,60,80,,,90,30
104,Thermococcus profundus,49899,DT5432,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_002214585.1,53.1,2,Z75233,65.9,50,80,,,90,40
105,Caldicellulosiruptor changbaiensis,1222016,CBS-Z,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_003999255.1,35.1,2.9,JX280492,58.2,40,75,,,90,50
106,Pseudothermotoga hypogea,57487,SEBR 7054,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,GCA_000816145.1,49.5,2.2,U89768,61.4,56,70,,,90,34
107,Sulfurisphaera javensis,2049879,KD-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,,30.6,,LC332080,64.3,60,82.5,80,85,90,30
108,Acidilobus saccharovorans,242703,345-15,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,GCA_000144915.1,57.2,1.5,AY350586,67.3,60,82.5,80,85,90,30
109,Zestosphaera tikiterensis,1973259,NZ3,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Zestosphaera,,41.9,,MH252993,65.1,60,82.5,82,83,90,30
110,Caldicellulosiruptor bescii,31899,Z-1320,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,GCA_000022325.1,35.2,2.9,NR_074788,58.7,42,79,78,80,90,48
111,Fervidobacterium changbaicum,310769,CBS-1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,31.9,,AY878719,61.1,55,77.5,75,80,90,35
112,Thermocrinis albus,136094,HI 11/12 ,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,GCA_000025605.1,46.9,1.5,AJ278895,63,55,85,,,89,34
113,Vulcanisaeta souniana,164452,IC-059,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Vulcanisaeta,,44.9,,AB063646,68,65,85,,,89,24
114,Methanocaldococcus infernus,67760,ME,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000092305.1,33.6,1.3,AF025822,64.5,49,85,,,89,40
115,Acidilobus sulfurireducens,411357,18D70,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,,59.9,,EF057391,67.7,62,81,,,89,27
116,Thermocrinis ruber,75906,OC 1/4 ,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,GCA_000512735.1,45.2,1.5,AJ005640,61.9,44,80,,,89,45
117,Methanocaldococcus vulcanius,73913,M7,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000024625.1,31.6,1.8,AF051404,63.7,49,80,,,89,40
118,Stygiolobus azoricus,41675,FC6,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Stygiolobus,GCA_009729035.1,37.6,2,X90480,64.5,57,80,,,89,32
119,Palaeococcus ferrophilus,83868,DMJ,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,,53.5,,AB019239,65.2,60,83,,,88,28
120,Thermotoga petrophila,93929,RKU-1,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000016785.1,46.1,1.8,AB027016,64.4,47,80,,,88,41
121,Thermococcus sibiricus,172049,MM739,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,GCA_000022545.1,40.2,1.8,AJ238992,65,40,78,,,88,48
122,Fervidobacterium thailandense,1008305,FC2004,Bacteria,Thermotogae,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,,45.8,,KJ473436,61.9,60,79,78,80,88,28
123,Thermovibrio guaymasensis,240167,SL19,Bacteria,Aquificae,Aquificae,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,,46,,AY268937,63.8,50,77.5,75,80,88,38
124,Saccharolobus solfataricus,2287,NBRC 15331,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Saccharolobus,GCA_900079115.1,35.8,3,X90478,63.4,50,85,,,87,37
125,Archaeoglobus lithotrophicus,138903,TF2,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,,40,,AJ299218,64.1,55,80,,,87,32
126,Acidianus ambivalens,2283,Lei 10,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,GCA_009729015.1,34.2,2.3,D85506,63.7,70,80,,,87,17
127,Methanocaldococcus indicus,213231,SL43,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,,30.7,,AF547621,64.3,50,85,,,86,36
128,Methanocaldococcus jannaschii,2190,JAL-1,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,GCA_000091665.1,31.3,1.7,M59126,61.4,50,85,,,86,36
129,Thermotoga naphthophila,93930, RKU-10,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000025105.1,46.1,1.8,AB027017,63.9,48,80,,,86,38
130,Thermothrix azorensis,48383,TM,Bacteria,,,,,Thermothrix,,39.7,,NR_104832,60.8,63,77,76,78,86,23
131,Geoglobus acetivorans,565033,SBH6,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,GCA_000789255.1,46.8,1.9,FJ216404,63.6,50,81,,,85,35
132,Thermocrinis jamiesonii,1302351,GBS1,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Thermocrinis,,41.3,,KC526152,61.6,70,80,,,85,15
133,Thermococcus celericrescens,227598,TS2,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,,54.6,,AB107768,65.2,50,80,,,85,35
134,Palaeococcus helgesonii,207243,PI1,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,,42.5,,AY134472,63.6,45,80,,,85,40
135,Sulfurisphaera tokodaii,111955,7,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfurisphaera,GCA_000011205.1,32.8,2.7,AB022438,64,70,80,,,85,15
